Experiment ID	luminose_hf_goNogo
Animal ID	LUMI-0013
Researcher	Test
Directory path	


Number	Start Time	End Time	Time From Start	Channel	Annotation
259	03/25/26 18:03:13.429	03/25/26 18:03:13.429	105.9136	EEG1	TTL 3: Fall
260	03/25/26 18:03:13.429	03/25/26 18:03:13.429	105.9136	EEG2	TTL 3: Fall
261	03/25/26 18:03:13.429	03/25/26 18:03:13.429	105.9136	EMG	TTL 3: Fall
262	03/25/26 18:03:14.431	03/25/26 18:03:14.431	106.9156	EEG1	TTL 3: Rise
263	03/25/26 18:03:14.431	03/25/26 18:03:14.431	106.9156	EEG2	TTL 3: Rise
264	03/25/26 18:03:14.431	03/25/26 18:03:14.431	106.9156	EMG	TTL 3: Rise
265	03/25/26 18:03:15.433	03/25/26 18:03:15.433	107.9174	EEG1	TTL 3: Fall
266	03/25/26 18:03:15.433	03/25/26 18:03:15.433	107.9174	EEG2	TTL 3: Fall
267	03/25/26 18:03:15.433	03/25/26 18:03:15.433	107.9174	EMG	TTL 3: Fall
268	03/25/26 18:03:18.430	03/25/26 18:03:18.430	110.9147	EEG1	TTL 3: Rise
269	03/25/26 18:03:18.430	03/25/26 18:03:18.430	110.9147	EEG2	TTL 3: Rise
270	03/25/26 18:03:18.430	03/25/26 18:03:18.430	110.9147	EMG	TTL 3: Rise
